Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Jakarta Central,PM2.5 - Principal,2023-08-01 01:00 AM,2023,08,01,01,47.7,131,Unhealthy for Sensitive Groups,54.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-01 02:00 AM,2023,08,01,02,54.4,148,Unhealthy for Sensitive Groups,61.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-01 03:00 AM,2023,08,01,03,54.2,147,Unhealthy for Sensitive Groups,54.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-01 04:00 AM,2023,08,01,04,52.0,142,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-01 05:00 AM,2023,08,01,05,45.1,125,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-01 06:00 AM,2023,08,01,06,40.5,113,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-01 07:00 AM,2023,08,01,07,37.6,106,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-01 08:00 AM,2023,08,01,08,38.6,109,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-01 09:00 AM,2023,08,01,09,40.5,113,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-01 10:00 AM,2023,08,01,10,40.7,114,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-01 11:00 AM,2023,08,01,11,39.9,112,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-01 12:00 PM,2023,08,01,12,31.9,93,Moderate,24.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-01 01:00 PM,2023,08,01,13,28.9,86,Moderate,26.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-01 02:00 PM,2023,08,01,14,27.9,84,Moderate,27.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-01 03:00 PM,2023,08,01,15,26.9,82,Moderate,26.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-01 04:00 PM,2023,08,01,16,21.9,72,Moderate,17.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-01 05:00 PM,2023,08,01,17,20.4,68,Moderate,19.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2023-08-01 06:00 PM,2023,08,01,18,22.2,72,Moderate,24.0,UG/M3,1 Hr,Valid
